data_class,authoritative_source,storage_location,purpose,business_owner,default_handling_proposal,retention_decision_required,access_policy,deletion_events,backup_handling,configuration_key,approval_status
Raw recordings,Recording platform,Source pointer; optional private object storage,Approved transcription or playback,TO_COMPLETE,Do not copy by default; separate temporary processing from approved archive,TO_COMPLETE; temporary copy proposal 24h after successful processing,Current source access plus recording policy,Source deletion; expiry; approved request; disconnect purge,Exclude temporary media where feasible; approved archives follow chosen backup expiry,RAW_MEDIA_RETENTION_PROFILE,Not approved
Transcripts and meeting notes,Meeting platform or approved transcript pipeline,PostgreSQL metadata plus private text objects,Searchable timecoded call and meeting evidence,TO_COMPLETE,Select approved meetings; preserve speakers timestamps account and version,TO_COMPLETE; active and superseded versions separately,Current source access plus selected workspace restrictions,Source deletion; correction; expiry; approved request,Reapply tombstones and permission state before serving restored data,TRANSCRIPT_RETENTION_PROFILE,Not approved
Documents and messages,Source document or communication platform,PostgreSQL metadata plus selective private content objects,Selected company and project context,TO_COMPLETE,Reference-only or selected text; exclude private messages by default,TO_COMPLETE; active and superseded versions separately,Current source ACL plus company policy,Source deletion; expiry; approved request; disconnect purge,Chosen backup expiry; restoration must reapply tombstones,DOCUMENT_RETENTION_PROFILE,Not approved
Chunks and embeddings,Derived from approved source version,Permission-filtered search index,Retrieval of authorized evidence,TO_COMPLETE,Only approved source classes; protect vectors as sensitive derived data,TO_COMPLETE; do not outlive approved evidence use,Inherit current source access; never public by default,Dependency deletion; reindex; revoke; expiry,Prefer rebuild from authorized sources; restrict any index backups,INDEX_RETENTION_PROFILE,Not approved
Compiled pages and saved answers,Reviewed Company OS artifact with source lineage,PostgreSQL metadata and private versioned content,Maintained knowledge and explicitly saved answers,TO_COMPLETE,Store cited versioned artifacts with reviewer and scope,TO_COMPLETE; approved records and drafts separately,Current dependency access intersection plus artifact scope,Dependency revoke or deletion; expiry; supersession; approved request,Restore only after dependency and identity reconciliation,ARTIFACT_RETENTION_PROFILE,Not approved
Unsaved chat bodies,Active employee request or session,Transient processing only by default,Answer current question,TO_COMPLETE,Do not retain chat history by default; configure provider logging separately,TO_COMPLETE; proposed request or session only,Requesting user plus current access to every cited source,Request or session end; explicit delete,Exclude from application backups by default,CHAT_BODY_RETENTION_PROFILE,Not approved
Suggestions and feedback,Company OS recommendation and review records,PostgreSQL,Review recommendations and improve approved workflows,TO_COMPLETE,Scoped drafts; store evidence and review decisions; no automatic execution or training,TO_COMPLETE; unreviewed draft proposal 30d then expire,Current dependency access intersection plus reviewer or workspace scope,Expiry; rejection policy; dependency invalidation; approved request,Backup expiry agreed; restore suggestion validity before display,SUGGESTION_RETENTION_PROFILE,Not approved
Action proposals approvals and receipts,Company OS workflow plus external action receipt,PostgreSQL and minimized audit references,Authorize execute reconcile and account for specific actions,TO_COMPLETE,Exact payload and target; separate approval and execution state,TO_COMPLETE; approval expiry is separate from record retention,Authorized actors and reviewers plus target and evidence access,Approval expiry; source change; offboarding; record expiry,Preserve idempotency and receipts during restore; reconcile external outcome,ACTION_RETENTION_PROFILE,Not approved
Audit and usage events,Company OS and cloud control-plane events,Separate protected audit sink,Accountability incident investigation and cost reporting,TO_COMPLETE,Minimize content; exclude prompts transcripts and credentials by default,TO_COMPLETE; illustrative audit proposal 365d,Dedicated audited security and operations roles,Retention expiry subject to approved hold,Separate recovery and immutability policy; no indefinite default,AUDIT_RETENTION_PROFILE,Not approved
Jobs cursors and temporary files,Connector and workflow state,Durable queue workflow store and private temporary storage,Reliable synchronization and recovery,TO_COMPLETE,Use resource pointers; minimize sensitive queue bodies,TO_COMPLETE; distinguish in-flight completed and failed jobs,Service identities limited by connection and capability,Job completion; timeout; dead-letter expiry; disconnect; source deletion,Restore cursors with source reconciliation; clear expired work,JOB_RETENTION_PROFILE,Not approved
Live financial query results,Approved accounting or reporting endpoint,Transient result; optional explicitly saved authorized report,Answer defined current financial questions,TO_COMPLETE,Controlled parameterized query; no blanket ledger copy,TO_COMPLETE; request-only unless saving approved,Finance report permission plus current user authorization,Request end; report expiry; source correction; approved request,Exclude transient results; saved reports follow artifact policy,FINANCE_RESULT_RETENTION_PROFILE,Not approved
Secrets and keys,Customer identity and source authorization systems,Managed secret and key manager,Authenticate approved services and connections,TO_COMPLETE,Application stores references only; no secrets in Git or logs,TO_COMPLETE; rotation revocation and recovery policy,Specific workload identity with least privilege,Rotation; offboarding; connection removal; incident,Use secret-manager recovery policy; restore must not reactivate revoked tokens,SECRET_LIFECYCLE_PROFILE,Not approved
Backups and exports,Approved snapshots or export manifests,Private encrypted customer storage,Disaster recovery or approved delivery,TO_COMPLETE,Separate purpose owner audience and expiry; exclude ephemeral content,TO_COMPLETE; illustrative backup proposal 35d; exports separately,Restricted recovery operators or explicitly authorized recipients,Backup expiry; export expiry; approved deletion subject to hold,Reapply deletion ledger identities and permissions before release,BACKUP_EXPORT_RETENTION_PROFILE,Not approved
